ticker,action,horizon,thesis,entry,target,stop,conviction,score,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,sector,revenue_growth,eps_growth,revenue_ttm,gross_margin,gross_margin_trend,fcf_ttm,fcf_margin,fcf_yield,net_debt,net_debt_to_ebitda,ps_ratio,ev_to_ebitda,inst_percent,inst_trending_up,dilution_rate,market_rel_strength,sector_rel_strength
MU,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",286.21395,337.732461,263.31683400000003,High,0.9495485955925328,284.79,290.87,283.42,234.7886,145.2119,15.064099999999993,6580632617.833501,0.6810246280233783,2.0902808814934453,0.14580567290283653,0.23681924780682717,0.5634916277793027,Technology,,2.2624113475177303,42312000000.0,0.5604339221578831,0.16317896176235913,4652000000.0,0.10994516921913405,0.01451329043827308,2694000000.0,0.12116578562319433,7.575481913405181,14.537546101647454,0.82924,True,,0.5307891070223278,0.5280442014005181
LITE,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",392.7238499999999,463.41414299999985,361.30594199999996,High,0.9465164342629483,390.77,400.89,384.63,271.0978,142.823625,24.370428571428565,1316661527.845,0.40907002114257757,2.6967131474103687,0.15910776258416637,0.26758141948877645,1.2798716452742123,Technology,,1.0568181818181819,1841900000.0,0.34001498688647436,0.05055578389490151,-88500000.0,-0.0480482110863782,-0.0031937337109043226,2507300000.0,17.208647906657514,15.04452638688311,207.39748216884007,1.1406701,True,,1.2471691245172374,1.2444242188954278
FCX,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",53.30519999999999,62.90013599999999,49.040783999999995,High,0.9401303521318006,53.04,53.765,52.64,43.355199999999996,41.351850000000006,1.446857142857144,715030776.8445,0.9779902504785689,3.9739295736399027,0.10684474123539234,0.2583629893238435,0.35686876438986936,Basic Materials,,1.4210526315789473,26002000000.0,0.3072289156626506,0.02083464004210911,1625000000.0,0.06249519267748635,0.021336166242609245,4980000000.0,0.5208115247864855,2.92907319744635,8.485856308453375,0.85944,True,,0.3241662436328945,0.30021340916279676
WBD,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",28.944,34.15392,26.62848,High,0.9400000000000001,28.8,28.925,28.62,24.142200000000003,14.988625000000003,0.885571428571428,1911510159.596,0.38974371096372934,3.999999999999998,0.04310032596885183,0.20603015075376896,0.4883720930232558,Communication Services,,0.7000000000000001,37863000000.0,0.49541182974018794,0.07234153253793646,4134000000.0,0.109183107519214,0.057917103388338505,29227000000.0,3.767336880353297,1.8851617420700948,12.967888293388798,0.73624,True,,0.4556695722662809,0.5037893964500014
COHR,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",192.6786,227.36074799999997,177.264312,High,0.9388450971577001,191.72,193.99,188.1046,155.1694,103.71705,11.067592857142854,788298508.2179999,0.3904907370732505,4.230980568459962,0.09111604348073521,0.244935064935065,0.6722197993894461,Technology,,1.7045454545454546,6043358000.0,0.36626284164823336,0.011457990997185252,73777000.0,0.012207947965353037,0.002448663922988056,2653074000.0,2.28141543713184,4.98555471444849,28.19018695603217,0.96831,True,,0.6395172786324712,0.6367723730106615
AA,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",54.521249999999995,64.33507499999999,50.159549999999996,High,0.9087413059545704,54.25,54.43,53.74,41.3484,32.77205,1.8134571428571422,282528570.38750005,0.5206093213490498,5.8306861775069905,0.12598588625985885,0.30502766418089977,0.6026587887740029,Basic Materials,,0.15789473684210525,12868000000.0,0.1001669449081803,-0.10619063906908292,519000000.0,0.040332608019894314,0.03694266038996963,1093000000.0,0.5347358121330724,1.0917624121852658,7.407925009784736,0.82012004,True,,0.569956268017028,0.5460034335469303
WDC,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",182.44769999999997,215.28828599999994,167.85188399999998,High,0.901554668813911,181.54,182.52,178.185,156.5832,89.6011,10.22209285714286,1332749466.402,0.43721866869561626,3.830057742225999,0.03731215359122331,0.1508811969063013,0.39015238532812613,Technology,,0.8834355828220859,12002000000.0,0.4354151880766501,0.0484324957863399,1940000000.0,0.16163972671221463,0.03117412487965785,2635000000.0,0.8974795640326976,5.185060601899683,22.09335740599455,1.04615,True,,0.35744986457115124,0.3547049589493415
EXPE,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",288.9978,341.01740399999994,265.877976,High,0.8846641828512131,287.56,289.32,286.48,251.338,200.36087500000002,7.126735714285721,464254057.4240001,0.31648579633388746,1.6619930237329914,0.006898000630274348,0.11621768496234752,0.3193851800871761,Consumer Cyclical,,2.3318181818181816,14370000000.0,0.914777878513146,0.022867501803617185,2998000000.0,0.20862908837856645,0.08427111807639018,652000000.0,0.2992198168196107,2.475689098956159,16.62581518492328,1.03657,True,,0.2866826593302012,0.31973804614029716
LRCX,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",178.96034999999998,211.17321299999998,164.643522,High,0.8680673664810076,178.07,179.8,177.8,157.4468,110.60055,6.703028571428577,1714391260.536,0.5049563835127996,0.9621802002224795,0.08117789921068619,0.14780198530359678,0.2470761257791163,Technology,,0.3478260869565217,19591788000.0,0.5042809465432472,0.016062178500776125,5550038000.0,0.2832838942520203,0.024716043275798145,-2209103000.0,-0.32205084503321235,11.461539012978294,32.735990598795354,0.88471,True,,0.21437360502214142,0.2116286994003317
NEM,Buy,3-4 month,"Medium-term trend with revenue/EPS growth, sector leadership, and supportive ownership.",106.3089,125.44450199999999,97.804188,High,0.8663019971244,105.78,106.34,104.55,90.28,69.3533675,3.467428571428571,854272128.8665,0.43205947378749976,0.526612751551629,0.06482786390175144,0.1685815289438799,0.2307155322862129,Basic Materials,,0.34677419354838707,21503000000.0,0.5304127443881246,0.055949261002119055,6122000000.0,0.2847044598428126,0.052687745948945555,12000000.0,0.000979671815062372,5.403618141468632,9.486978651576997,0.80403,True,,0.198013011529238,0.17406017705914026
