ticker,action,horizon,thesis,entry,target,stop,conviction,score,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,r120,r252,volatility60,sector,revenue_growth,eps_growth,revenue_ttm,gross_margin,gross_margin_trend,fcf_ttm,fcf_margin,fcf_yield,net_debt,net_debt_to_ebitda,ps_ratio,ev_to_ebitda,inst_percent,inst_trending_up,dilution_rate
JNJ,Buy,1+ year,Long-term compounding: trend + FCF-positive names with stable margins and sane leverage/valuations.,218.66,295.19100000000003,174.928,High,0.8947741801810108,218.66,220.11,218.135,204.52919999999997,176.55995000000001,3.564235714285713,1699982332.249,1.2348057451335186,0.6587615283267534,0.06981750574881351,0.03960443113203049,0.13956639566395657,0.3154855011430635,0.5083120645650825,0.17477609189310195,Healthcare,,0.5035460992907803,92149000000.0,0.6956195557037469,0.020231479988282897,18679000000.0,0.20270431583630857,0.03562008748318078,27564000000.0,0.863479735308734,5.690730432147935,17.290869018395817,0.75054,True,
NEM,Buy,1+ year,Long-term compounding: trend + FCF-positive names with stable margins and sane leverage/valuations.,114.12,154.062,91.296,High,0.8725866238357513,114.12,114.75,111.28,96.649,73.5748675,3.9271428571428584,913193789.754,1.0803054124174665,1.3656006914433865,0.04706853839801828,0.1475113122171945,0.3220574606116777,0.7926484448633366,1.7585206671501092,0.436687814348461,Basic Materials,,0.34677419354838707,21503000000.0,0.5304127443881246,0.055949261002119055,6122000000.0,0.2847044598428126,0.04708674309981163,12000000.0,0.000979671815062372,6.046382508115147,10.615345232376692,0.80258006,True,
NYT,Buy,1+ year,Long-term compounding: trend + FCF-positive names with stable margins and sane leverage/valuations.,71.49,96.5115,57.192,High,0.8663328370045575,71.49,71.625,71.17,66.90859999999999,58.171350000000004,1.0389285714285716,106655467.619,0.5690911242225862,1.1476769911504403,0.0059096665259603665,0.02863309352517973,0.2662061636556854,0.37375096079938497,0.3721689059500959,0.19017470815771184,Communication Services,,-0.3333333333333333,2749233000.0,0.5019056221203417,-0.0029676539224100518,536521000.0,0.19515297539350066,0.04620306681035471,-212084000.0,-0.42461043728188075,4.22380999500588,23.24870042186037,0.99239,True,
AMG,Buy,1+ year,Long-term compounding: trend + FCF-positive names with stable margins and sane leverage/valuations.,326.12,440.26200000000006,260.896,High,0.858580458760203,326.12,327.525,321.22,279.16380000000004,223.2334,7.3226071428571435,126495109.95899999,0.8112481671188458,0.42897488741316625,0.058728045969548504,0.20113439652314846,0.36566164154103853,0.5341769769958131,0.7450770547945207,0.2716565880180968,Financial Services,,0.39634146341463417,2042100000.0,0.5198863636363636,0.004516192160304411,924000000.0,0.45247539297781697,0.10066205827920068,1895500000.0,3.0425361155698236,4.494994446892904,17.776449695024077,0.98184997,True,
MNST,Buy,1+ year,Long-term compounding: trend + FCF-positive names with stable margins and sane leverage/valuations.,78.17,105.52950000000001,62.536,High,0.8581287517385627,78.17,78.74,77.78,74.4596,65.786725,1.2490357142857127,397838512.066,1.4719153416386919,1.0631565624604522,0.010731833462632512,0.05159077150736535,0.13454281567489113,0.29828932071084546,0.5868859114900529,0.21085939179922003,Consumer Defensive,,0.3947368421052632,7975331000.0,0.5573093008680835,-0.0011600389059212013,1944515000.0,0.24381621276910012,0.024817614604092653,-2093880000.0,-0.8417002435606868,9.824321017898818,31.496110520652646,0.69692004,True,
INCY,Buy,1+ year,Long-term compounding: trend + FCF-positive names with stable margins and sane leverage/valuations.,106.21,143.3835,84.968,High,0.8509250051734195,106.21,108.58,104.8301,102.4654,81.392725,3.6076357142857165,217904054.383,0.8071383018625293,5.414551607445019,-0.0061757275194161965,0.08788282290279636,0.2166093928980526,0.5138255416191562,0.4657742202594535,0.3660440330566647,Healthcare,,1.068627450980392,4813105000.0,0.9275245611209535,-0.0026644418142806048,1172041000.0,0.24351037428022035,0.058084957448757996,-2413739000.0,-1.822680160803206,4.192313896330955,15.236993687764222,1.05941,True,
AZN,Buy,1+ year,Long-term compounding: trend + FCF-positive names with stable margins and sane leverage/valuations.,94.39,127.4265,75.512,High,0.8419630468009083,94.39,94.68,93.51,90.9906,78.80975,1.831071428571429,736844084.7165,7.001432808127211,2.196663558180504,-0.0027469624933967873,0.0504117516136211,0.13422254265801503,0.3140748990672422,0.43711936662606554,0.20919526126551552,Healthcare,,0.6875000000000002,58127000000.0,0.8156145085906129,-0.011392032366863591,9567000000.0,0.1645878851480379,0.03394460674624564,24489000000.0,1.1995003918495297,4.848719750339773,15.004434410658307,0.16824,False,
IVZ,Buy,1+ year,Long-term compounding: trend + FCF-positive names with stable margins and sane leverage/valuations.,29.44,39.74400000000001,23.552000000000003,High,0.8387500643374299,29.44,29.51,29.12,25.803799999999995,20.39455,0.7045714285714292,140995992.259,0.9530291217820859,0.23720772619451128,0.03045152257612882,0.11515151515151523,0.28334786399302536,0.3579335793357934,0.7266862170087978,0.28986465412875345,Financial Services,,0.43478260869565216,6278100000.0,0.34168495488905143,-0.01645992994456852,1325700000.0,0.2111626128924356,0.10321746565799744,100800000.0,0.0801590436858136,2.0458031162294326,10.293881681587106,0.95689005,True,
GOOG,Buy,1+ year,Long-term compounding: trend + FCF-positive names with stable margins and sane leverage/valuations.,330.34,445.959,264.272,High,0.8365822657837894,330.34,335.2399,328.17,310.0518,227.3339,7.098549999999997,5954213706.4435,1.1776680306764076,3.182883939038691,0.0036458649814667954,0.10830034221297713,0.31431527015198535,0.7078895667459415,0.6770230480251802,0.2833438512384628,Communication Services,,0.33488372093023266,385477000000.0,0.5957927031833193,0.005396049822506632,73552000000.0,0.19080775247291018,0.018582025948952623,10623000000.0,0.07317425798267703,10.268404155557919,27.33861798387487,0.60631,True,
GOOGL,Buy,1+ year,Long-term compounding: trend + FCF-positive names with stable margins and sane leverage/valuations.,330.0,445.50000000000006,264.0,High,0.8359326326349383,330.0,334.65,327.7,309.36100000000005,226.36350000000002,7.180328571428565,9134958138.399,1.4126965414414296,3.0808540632617722,0.004352192835620938,0.11215961175518996,0.3175756607841571,0.7135735798109875,0.6875479417028891,0.2879084077115721,Communication Services,,0.33488372093023266,385477000000.0,0.5957927031833193,0.005396049822506632,73552000000.0,0.19080775247291018,0.018540007395505945,10623000000.0,0.07317425798267703,10.29167617911315,27.400411621817074,0.81184995,True,
